working_key,catalog_key,label,documentation_status,tref,tstart,tstop,catalog_path,catalog_exists,apparent_bytes,apparent_gib,all_file_count,active_file_count,administrative_file_count,immediate_folders,top_level_files,has_precipitation,has_waterlevel,has_discharge,has_wind,has_pressure,has_boundary_table,has_waterlevel_points,has_validation_points,has_validation_lines,has_misc_folder
flood_1979_04,flood_1979_04,April 1979 Harris County flood,Next-step event catalog,1979-04-15 17:00:00,1979-04-15 17:00:00,1979-04-25 15:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1979_04,True,3914571,0.004,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
claudette_1979,claudette_1979,Tropical Storm Claudette,Next-step event catalog,1979-07-16 00:00:00,1979-07-16 00:00:00,1979-08-13 00:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/claudette_1979,True,66435394,0.062,17,15,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,True,False,False,False,True,False
flood_1979_09,flood_1979_09,September 1979 flood; possible Tropical Storm Elena relationship remains to be verified,Next-step event catalog,1979-09-15 22:00:00,1979-09-15 22:00:00,1979-09-22 17:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1979_09,True,4301007,0.004,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
flood_1981_04,flood_1981_04,April-May 1981 flood,Next-step event catalog,1981-04-29 00:00:00,1981-04-29 00:00:00,1981-05-07 07:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1981_04,True,2794875,0.003,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
flood_1981_06,flood_1981_06,June 1981 flood,Next-step event catalog,1981-05-28 19:00:00,1981-05-28 19:00:00,1981-06-09 08:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1981_06,True,5001860,0.005,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
td8_1981,td8_1981,Possible Tropical Depression Eight / August-September 1981 flood,Next-step event catalog,1981-08-25 13:00:00,1981-08-25 13:00:00,1981-09-09 01:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/td8_1981,True,34735422,0.032,17,15,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,True,False,False,False,True,False
alicia_1983,alicia_1983,Hurricane Alicia,Next-step event catalog,1983-07-28 05:00:00,1983-07-28 05:00:00,1983-08-22 04:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/alicia_1983,True,58822024,0.055,17,15,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,True,False,False,False,True,False
flood_1983_09,flood_1983_09,September 1983 flood,Next-step event catalog,1983-09-14 14:00:00,1983-09-14 14:00:00,1983-09-23 17:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1983_09,True,3731135,0.003,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
flood_1984_10,flood_1984_10,"October 21-22, 1984 heavy rain and flooding south of Houston",Next-step event catalog,1984-10-15 20:00:00,1984-10-15 20:00:00,1984-10-31 07:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1984_10,True,7041706,0.007,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
flood_1989_05,flood_1989_05,May 1989 flood,Next-step event catalog,1989-05-10 13:00:00,1989-05-10 13:00:00,1989-05-21 03:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1989_05,True,3582388,0.003,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
